pleasue enter the dates in mm/dd format,fall start,fall end,spring start,spring end,,
East Central College,17/08/2015,"Dec 14-15, 2015",04/01/2015,"May 11-14, 2015",,
East Central University,,,,,,
East Georgia College,,,,,,
East Los Angeles College,31/08/2015,20/12/2015,09/02/2015,07/06/2015,,
East Stroudsburg University,25/08/2014,12/12/2014,20/01/2015,09/05/2015,,
East Tennessee State University,25/08/2014,"Dec 5-12, 2014",20/01/2015,"May 1-8, 2015",,
East Texas Baptist University,25/08/2014,"Dec 15-18, 2014",07/01/2015,"April 27-30, 2015",,
Eastern Arizona College,17/08/2015,"Dec 7-10, 2015",06/01/2016,"May 2-5, 2016",,
Eastern Connecticut State University,28/08/2014,17/12/2014,12/01/2015,09/05/2015,,
Eastern Illinois University,24/08/2015,11/12/2015,10/10/2015,14/03/2015,,
Eastern Iowa Community College Dist Off,,,,,,
Eastern Kentucky University,02/03/2015,30/08/2015,12/01/2015,06/02/2015,,
Eastern Michigan University,,,,,,
Eastern New Mexico University,,,,,,
Eastern Oklahoma State College,10/08/2015,04/12/2015,11/01/2015,06/05/2015,,
Eastern Oregon University,,,,,,
Eastern University,,,,,,
Eastern Washington University,24/09/2015,05/12/2015,30/03/2015,05/06/2015,,
Eastfield College,31/08/2015,19/11/2015,20/01/2015,14/04/2015,,
Eckerd College,08/08/2015,04/12/2015,05/01/2015,13/05/2015,,
Edgewood College,,,,,,
Edinboro University Of Pennsylvania,24/08/2015,30/10/2015,19/01/2015,02/05/2015,,
Edison College-Lee County,24/08/2015,04/12/2015,07/01/2015,27/04/2015,,
Edison Community College,,,,,,
Edmonds Community College,,,,,,
El Camino College,,,,,,
El Camino College - Compton Center,22/08/2015,16/10/2015,16/01/2015,11/03/2015,,
El Centro College,31/08/2015,19/11/2015,20/01/2015,14/04/2015,,
El Paso Community College - Transmtn,,,,,,
El Paso Community College-Valle Verde,,,,,,
Elizabeth City State University,,,,,,
Elizabethtown College,03/08/2015,27/12/2015,04/01/2015,29/05/2015,,
Elizabethtown Community/Tech College,16/08/2015,16/12/2015,09/01/2015,03/05/2015,,
Elmhurst College,31/08/2015,12/12/2015,01/02/2015,14/05/2015,,
Elmira College,,,,,,
Elms College,,,,,,
Embry-Riddle Aero University-Daytona,,,,,,
Emerson College,02/09/2015,24/11/2015,11/01/2015,26/04/2015,,
Emmanuel College,,,,,,
Emory University,,,,,,
Emory And Henry College,,,,,,
Emporia State University,17/08/2015,15/10/2015,,,,
Endicott College,01/09/2015,11/12/2015,04/01/2015,06/05/2015,,
Enterprise-Ozark Community College,,,,,,
Essex County College-Newark,,,,,,
Estrella Mountain Community College,,,,,,
Eureka College,26/08/2015,26/10/2015,20/01/2015,06/05/2015,,
Evangel University,,,,,,
Everett Community College,15/08/2015,30/10/2015,04/01/2015,30/05/2015,,
Evergreen Valley College,31/08/2015,12/10/2015,13/01/2015,30/04/2015,,
Fairleigh Dickinson University-Metropolitan Campus,24/08/2015,30/10/2015,25/01/2015,07/05/2015,,
Fairmont State Clg-Clarksburg,,,,,,
Feather River Community College District,,,,,,
Fine Mortuary College Llc,31/08/2015,05/11/2015,02/03/2015,07/05/2015,,
First Coast Technical Institute,,,,,,
Fisk University,18/08/2014,12/12/2014,05/01/2015,02/05/2015,,
Fl Metropolitan Univ-Tampa,,,,,,
Flathead Valley Community College,28/08/2014,18/12/2014,19/01/2015,14/05/2015,,
Flint Hills Technical College,12/08/2015,30/10/2015,11/01/2015,20/05/2015,,
Florence-Darlington Technical College,12/08/2015,12/10/2015,07/01/2015,14/03/2015,,
Florida Career Clg-Miami,,,,,,
Florida Christian College Inc,,,,,,
Florida College,20/08/2015,15/10/2015,12/01/2015,14/03/2015,,
Florida Keys Community College,21/08/2014,10/12/2014,09/01/2015,04/05/2015,,
Florida National College-South,02/09/2014,18/12/2014,,,,
Florida Tech College-Orlando,,,,,,
Florida Technical College Of Jacksonville Inc,,,,,,
Fort Berthold Community College,25/08/2014,"Dec 15-19, 2014",12/01/2015,"May 11-15, 2015",,
Fort Peck Community College,02/09/2014,"Dec 15-19, 2014",20/01/2015,"May 11-15, 2015",,
Frank Phillips College,25/08/2014,16/12/2014,20/01/2015,12/05/2015,,
Free Will Baptist Bible College,,,,,,
Fulton-Montgomery Community College,,,,,,
Fairfield University,18/06/2014,19/12/2014,20/01/2015,08/05/2015,,
Farmingdale State College,25/08/2014,20/12/2014,23/01/2015,15/05/2015,,
Fashion Institute Of Technology,25/08/2014,20/12/2014,26/01/2015,18/05/2015,,
Faulkner State Community College-Bay M,18/08/2014,12/12/2014,07/01/2015,08/05/2015,,
Faulkner University,18/08/2014,"Dec 5-12, 2014",07/01/2015,"April 24-30, 2015",,
Fayetteville State University,19/08/2014,12/12/2014,10/01/2015,08/05/2015,,
Fayetteville Tech Community College,18/08/2014,13/12/2014,12/01/2015,13/05/2015,,
Felician College,26/08/2015,"Dec 9-15, 2015",14/01/2015,"May 6-12, 2015",,
Ferris State University,31/08/2015,18/12/2015,12/01/2015,08/05/2015,,
Ferrum College,01/09/2014,"Dec 10-15, 2014",12/01/2015,"April 27 - May 1, 2015",,
Fisher College,08/09/2015,06/11/2015,04/04/2016,24/06/2016,,
Fitchburg State University,03/09/2015,18/12/2015,20/01/2016,19/05/2016,,
Flagler College,27/08/2015,10/12/2015,11/01/2016,28/04/2016,,
Florida Agricultural And Mechanical University,11/08/2014,12/12/2014,05/01/2015,08/05/2015,,
"Florida Atlantic University, Boca Raton",18/08/2014,12/12/2014,05/01/2015,01/05/2015,,
Florida Community College - Martin Ctr,,,,,,
Florida Gulf Coast University,19/08/2015,11/12/2015,05/01/2015,03/05/2015,,
Florida Hospital College Health Sci,,,,,,
Florida Institute Of Tech,17/08/2014,09/12/2014,11/01/2015,06/05/2015,,
Florida International University-Miami,25/08/2014,13/12/2014,12/01/2015,02/05/2015,,
Florida Memorial University,17/08/2015,12/12/2015,11/01/2016,07/05/2016,,
Florida National College,02/09/2014,18/12/2014,,,,
Florida Southern College,26/08/2015,19/12/2015,13/01/2016,07/05/2016,,
Florida State University,02/03/2014,17/12/2014,"Sept. 29, 2014",15/05/2015,,
Folsom Lake College,21/09/2015,11/12/2015,"january 16,2015",18/05/2015,,
Fond Du Lac Tribal & Community College,"August 25,2014",01/01/2014,"January 12,2015","May 25,2015",,
Fontbonne University,14/08/2015,18/12/2018,08/01/2015,18/05/2015,,
Foothill College,,,,,,
"Fordham University, Rose Hill",30/08/2015,24/12/2015,04/01/2016,30/05/2016,,
Forsyth Technical Community College,,,,,,
Fort Hays State University,05/08/2015,11/12/2015,07/01/2015,15/05/2015,,
Fort Lewis College,30/08/2015,18/12/2015,10/01/2016,29/04/2016,,
Fort Valley State University,,,,,,
Fox Valley Tech College-Appleton,31/08/2015,22/12/2015,18/01/2016,18/05/2016,,
Framingham State College,02/09/2015,23/12/2015,03/11/2015,08/05/2016,,
Franciscan University,25/08/2015,12/085/2015,1/185/2016,13/05/2016,,
Franklin College,31/08/2015,11/12/2015,03/02/2016,13/05/2016,,
Franklin Pierce University,01/09/2015,11/12/2015,20/01/2016,06/05/2016,,
Franklin University,24/08/2015,04/12/2015,18/01/2016,06/05/2016,,
Franklin And Marshall College,02/08/2015,11/12/2015,12/01/2016,21/04/2016,,
Frederick Community College,24/08/2015,12/12/2015,26/01/2016,16/05/2016,,
Freed-Hardeman University,,,,,,
Fresno City College,12/01/2015,22/05/2015,N/a,N/a,,
Fresno Pacific University,,,,,,
Friends University,,,,,,
Front Range Community College,24/08/2015,14/12/2015,20/01/2015,11/05/2015,,
Frostburg State University,,,,,,
Ft Scott Community College,01/07/2015,04/12/2015,11/01/2016,13/05/2016,,
Fuller Theological Seminary,N/A,N/A,23/02/2015,12/06/2015,,
Fullerton College,"August 22,2014","December 24 - Jan 1,2014-15","January 19,2015","May 25,2015",,
Furman University,N/A,N/A,,,,
Gadsden St Cmty Clg-Ayers,N/A,N/A,,,,
Gadsden St Cmty Clg-Valley St,,,,,,
Galveston College,"April 14,2014","December 17,2014","November 17,2014","May 15,2015",,
Garrett College,"Friday, 29 August 2014","Friday, 18 December 2015","Monday, 11 January 2016","Monday, 30 May 2016",,
Gateway Community And Technical College,N/A,N/A,,,,
George C Wallace State Community College-Hanceville,N/A,N/A,,,,
George C Wallace State Community College-Selma,N/A,N/A,,,,
Georgia Military College-Milledgeville Campus,01/08/2015,29/09/2015,,,,
Glen Oaks Community College,24/08/2015,11/12/2015,18/05/2015,06/08/2015,,
Globe Institute Of Technology,,,,,,
Gogebic Community College,24/08/2015,04/12/2015,11/01/2016,06/05/2016,,
Goshen College,25/08/2015,07/12/2015,06/01/2016,15/04/2016,,
Grace Bible College,30/07/2015,03/12/2015,,,,
Grace University,,,,,,
Graceland University,01/09/2015,11/12/2015,05/01/2015,08/05/2015,,
Grays Harbor College,N/A,N/A,02/04/2015,10/06/2015,,
Grayson County College,"Aug 25,2014","Jun 2,2014","Jun 5,2015","Jun 2,2015",,
Great Lakes Christian College,"August 19,2015","December 16-18,2015",,,,
Green Mountain College,"August 28 (Fr.),2015","December 19 (Sat.),2015","January 17 (Sun.),2016","May 14 (Sat.),2016",,
Greensboro College,19/08/2015,08/12/2015,11/01/2016,26/04/2016,,
Greenville Technical College,N/A,N/A,,,,
Grinnell College,N/A,N/A,,,,
Grossmont-Cuyamaca Clg Dist,17/08/2015,14/12/2015,25/01/2016,28/05/2016,,
Gwynedd Mercy College,N/A,N/A,07/01/2015,05/05/2015,,
Gainesville College,N/A,N/A,,,,
Gallaudet University,,,20/01/2015,09/05/2015,,
Gannon University,19/08/2015,18/12/2015,11/01/2016,06/05/2016,,
Garden City Community College,17/08/2015,11/12/2015,11/01/2016,13/05/2016,,
Gardner-Webb University,,,,,,
Gaston College,24/08/2015,18/12/2015,12/01/2015,14/05/2015,,
Gateway Community College,22/08/2015,18/12/2015,17/01/2015,15/05/2015,,
Gateway Community College-Longwharf,,,,,,
Gateway Technical College,,,,,,
Gavilan College,31/08/2015,18/12/2015,01/02/2016,27/05/2016,,
Genesee Community College,24/08/2015,11/12/2015,19/01/2016,14/05/2016,,
Geneva College,31/08/2015,14/12/2015,11/01/2016,05/05/2016,,
George Fox University,31/08/2015,18/12/2015,11/01/2016,29/04/2016,,
George Mason University,31/08/2015,12/12/2015,N/A,N/A,,
George Washington University,31/08/2015,12/12/2015,11/01/2016,25/04/2016,,
Georgetown College,N/A,N/A,N/A,N/A,,
Georgetown University,,,,,,
Georgia College And State University,17/08/2015,07/12/2015,11/01/2016,02/05/2016,,
Georgia Gwinnett College,17/08/2015,05/12/2015,11/01/2016,03/05/2016,,
Georgia Highlands College,15/08/2015,07/12/2015,09/01/2016,02/05/2016,,
Georgia Institute Of Technology,17/08/2015,12/12/2015,11/01/2016,07/05/2016,,
Georgia Perimeter College,17/08/2015,01/12/2015,11/01/2016,28/04/2016,,
Georgia Southern University,10/08/2015,04/12/2015,11/01/2016,29/04/2016,,
Georgia Southwestern State University,19/08/2015,04/12/2015,N/A,N/A,,
Georgia State University,24/08/2015,07/12/2015,11/01/2016,25/04/2016,,
Georgian Court University,24/08/2015,16/12/2015,18/01/2016,20/05/2016,,
Germanna Community College-Locust Grove,,,,,,
Gettysburg College,31/08/2015,11/12/2015,18/01/2016,29/04/2016,,
Gillette College,24/08/2015,14/12/2015,19/01/2016,09/05/2016,,
Glendale Community College,31/08/2015,16/12/2015,16/02/2016,08/06/2016,,
Glendale Community College,31/08/2015,16/12/2015,16/02/2016,08/06/2016,,
Glenville State College,17/08/2015,04/12/2015,11/01/2016,29/04/2016,,
Gloucester County College,02/09/2015,19/12/2015,N/A,N/A,,
Golden Gate University,30/08/2015,19/12/2015,06/01/2016,26/04/2016,,
Golden West College,23/08/2015,13/12/2015,30/01/2016,29/05/2016,,
Goldey Beacom College,24/08/2015,12/12/2015,18/01/2016,07/05/2016,,
Gonzaga University,31/08/2015,18/12/2015,12/01/2016,06/05/2016,,
Gordon College,26/08/2015,10/12/2015,13/01/2016,04/05/2016,,
Gordon College,27/08/2015,11/12/2015,14/01/2016,05/05/2016,,
Goucher College,31/08/2015,11/12/2015,25/01/2016,06/05/2016,,
Governors State University,10/08/2015,06/12/2015,19/01/2016,08/05/2016,,
Graceland University,01/09/2015,11/12/2015,11/01/2016,23/04/2016,,
Grambling State University,24/08/2015,18/12/2015,11/01/2016,13/05/2016,,
Grand Canyon University,24/08/2015,13/12/2015,04/01/2016,24/04/2016,,
Grand Valley St University - Allendale,31/08/2015,12/12/2015,N/A,N/A,,
Grand Valley St University - Meijer,31/08/2015,12/12/2015,N/A,N/A,,
Grand Valley State University,31/08/2015,12/12/2015,N/A,N/A,,
Grand View College,24/08/2015,04/12/2015,11/01/2016,22/04/2016,,
Granite State College,07/09/2015,04/12/2015,04/04/2016,24/06/2016,,
Great Basin College,N/A,N/A,N/A,N/A,,
Greenfield Community College,02/09/2015,16/12/2015,27/01/2016,16/05/2016,,
Griffin Technical College,,,,,,
Grossmont College,17/08/2015,14/12/2015,25/01/2016,28/05/2016,,
Grove City College,N/A,N/A,N/A,N/A,,
Guilford College,N/A,N/A,N/A,N/A,,
Gulf Coast Community College-Main,24/08/2015,18/12/2015,06/01/2016,05/05/2016,,
Gustavus Adolphus College,08/09/2015,21/12/2015,06/02/2016,23/05/2016,,
Gwinnett Technical College,N/A,N/A,N/A,N/A,,
Halifax Community College,17/08/2015,16/12/2015,N/A,N/A,,
Hallmark College Of Technology/Hallmark College Of Aeronautics,,,,,,
Hampshire College,09/09/2015,11/12/2015,20/01/2016,29/04/2016,,
Hannibal-Lagrange College,,,,,,
Hanover College,07/09/2015,11/12/2015,02/05/2016,27/05/2016,,
Harcum College,31/08/2015,18/12/2015,18/01/2016,06/05/2016,,
Harrisburg Area Community College-Lebanon,,,1/19//2016,02/05/2016,,
Harvey Mudd College,01/09/2015,11/12/2015,19/01/2016,29/04/2016,,
Haskell Indian Nations University,19/08/2015,04/12/2015,06/01/2016,29/04/2016,,
Haywood Community College,17/08/2015,15/12/2015,11/01/2016,10/05/2016,,
Hazard Cmty/Tech College,17/08/2015,05/12/2015,11/01/2016,30/04/2016,,
Hcc North East-No Line Mall Ct,,,,,,
Heald College-Concord,,,,,,
Heald College-Fresno,,,,,,
Heald College-Hayward,,,,,,
Heald College-Honolulu,,,,,,
Heald College-Portland,,,,,,
Heald College-Roseville,,,,,,
Heald College-Salinas,,,,,,
Heald College-San Francisco,,,,,,
Heald College-San Jose,,,,,,
Heald College-Stockton,,,,,,
Hellenic College-Holy Cross Greek Orthodox School Of Theology,,,,,,
Heritage Bible College,,,,,,
Herzing Clg-Lakeland Med-Dent,,,,,,
Hesston College,17/08/2015,10/12/2015,06/01/2016,05/05/2016,,
Hibbing Community College-A Technical And Community College,,,,,,
High-Tech Institute-Las Vegas,24/08/2015,21/12/2015,11/01/2016,N/A,,
Hill College-Hillsboro,24/08/2015,10/12/2015,19/01/2016,12/05/2016,,
Hillsdale Free Will Baptist College,,,,,,
Hiwassee College,17/08/2015,10/12/2015,12/01/2016,12/05/2016,,
Hobe Sound Bible College,27/08/2015,15/12/2015,05/01/2016,13/05/2016,,
Hocking College-Nelsonville,,,,,,
Hollins University,,,,,,
Holmes Community College,,,,,,
Holy Names University,26/08/2015,04/12/2015,11/01/2016,02/05/2016,,
Hope International University,,,,,,
Howard College-Big Spring,24/08/2015,11/12/2015,19/01/2016,13/05/2016,,
Humphreys College-Stockton,,,,,,
Hutchinson Community College,19/08/2015,11/12/2015,11/01/2016,06/05/2016,,
Hagerstown Community College,26/08/2015,15/12/2015,12/01/2016,05/05/2016,,
Hamilton College,27/08/2015,11/12/2015,19/01/2016,09/05/2016,,
Hamline University,09/09/2015,11/12/2015,03/02/2016,13/05/2016,,
Hampden-Sydney College,26/08/2015,08/12/2015,13/01/2016,26/04/2016,,
Hampton University,31/08/2015,10/12/2015,04/01/2016,21/04/2016,,
Hardin-Simmons University,,,,,,
Harding University,24/08/2015,11/12/2015,11/01/2016,25/05/2016,,
Harford Community College,31/08/2015,15/12/2015,27/01/2016,21/05/2016,,
Harris-Stowe State University,,,,,,
Harry South Truman College,,,,,,
Hartnell College,18/08/2015,19/12/2015,21/01/2016,21/05/2016,,
Harvard University,02/09/2015,22/12/2015,25/01/2016,26/05/2016,,
Hastings College,24/08/2015,04/12/2015,27/01/2016,06/05/2016,,
Haverford College,31/08/2015,18/12/2015,18/01/2016,13/05/2016,,
Hawaii Community College-Hilo,24/08/2015,10/12/2015,11/01/2016,04/05/2016,,
Hawaii Pacific University,31/08/2016,13/12/2015,19/01/2016,08/05/2016,,
Hawkeye Community College,24/08/2015,17/12/2015,11/01/2016,11/05/2016,,
Heidelberg College-Tiffin,,,,,,
Henderson Community College,17/08/2015,###############################################################################################################################################################################################################################################################,11/01/2016,08/05/2016,,
Henderson State University,24/08/2015,18/12/2105,20/01/2016,13/05/2016,,
Hendrix College,,,,,,
Hennepin Tech College-Brooklyn,,,,,,
Henry Ford Community College,27/08/2015,20/12/2015,10/05/2016,27/06/2016,,
Herbert H Lehman College,27/08/2015,14/12/2015,29/01/2016,21/05/2016,,
Herkimer County Community College,,,,,,
High Point University,,,,,,
Highland Community College,,,,,,
Highland Community College,,,,,,
Highline Community College,,,,,,
Hilbert College,,,,,,
Hillsborough Community College Dist Off,,,,,,
Hinds Community College-Raymond,,,,,,
Hiram College,,,,,,
Hobart & William Smith Clgs,,,,,,
Hofstra University,,,,,,
Holy Family University,,,,,,
Holyoke Community College,,,,,,
Honolulu Community College,,,,,,
Hood College,,,,,,
Hope College,,,,,,
Hopkinsville Community College,,,,,,
Houghton College,,,,,,
Housatonic Community College,,,,,,
Houston Baptist University,,,,,,
Houston Community College System,,,,,,
Howard Community College,,,,,,
Howard Payne University,,,,,,
Howard University,,,,,,
Hudson County Community College - Jersey,,,,,,
Hudson Valley Community College,,,,,,
Humboldt State University,,,,,,
Huntingdon College,,,,,,
Husson College,,,,,,
Iliff School Of Theology,,,,,,
Ilisagvik College,,,,,,
Illinois Eastern Cmty Clg Sys,,,,,,
Immanuel Lutheran College,,,,,,
Independence Community College,,,,,,
Indian Capital Technology Center-Tahlequah,,,,,,
Indiana Business College-Anderson,,,,,,
Indiana Business College-Columbus,,,,,,
Indiana Business College-Evansville,,,,,,
Indiana Business College-Ft Wayne,,,,,,
Indiana Business College-Indianapolis,,,,,,
Indiana Business College-Lafayette,,,,,,
Indiana Business College-Marion,,,,,,
Indiana Business College-Medical,,,,,,
Indiana Business College-Muncie,,,,,,
Indiana Business College-Terre Haute,,,,,,
Indiana University-Southeast,,,,,,
Institute Of American Indian And Alaska Native Culture,,,,,,
International Academy Of Design And Technology,,,,,,
Iowa Lakes Cmty Clg-Esthervlle,,,,,,
Iowa Wesleyan College,,,,,,
Isothermal Community College,,,,,,
Itasca Community College,,,,,,
Iverson Business School And Court Reporting,,,,,,
Ivy Tech Cmty Clg Ctrl Office,,,,,,
Ivy Tech Community College-Bloominton,,,,,,
Ivy Tech Community College-Columbus,,,,,,
Ivy Tech Community College-East Central,,,,,,
Ivy Tech Community College-Kokomo,,,,,,
Ivy Tech Community College-Lafayette,,,,,,
Ivy Tech Community College-Northcentral,,,,,,
Ivy Tech Community College-Northeast,,,,,,
Ivy Tech Community College-Northwest,,,,,,
Ivy Tech Community College-South Central,,,,,,
Ivy Tech Community College-Southeast,,,,,,
Ivy Tech Community College-Southwest,,,,,,
Ivy Tech Community College-Wabash Valley,,,,,,
Ivy Tech Community College-Whitewater,,,,,,
Idaho State University-Pocatello,,,,,,
Illinois Central College-East Peoria,,,,,,
Illinois Institute Of Technology,,,,,,
Illinois State University,,,,,,
Illinois Valley Community College,,,,,,
Illinois Wesleyan University,,,,,,
Immaculata University,,,,,,
Imperial Valley College,,,,,,
Indian Hills Community College,,,,,,
Indian River Community College-Main,,,,,,
Indiana State University,,,,,,
Indiana Tech,,,,,,
Indiana Univ/Purdue Univ At In,,,,,,
Indiana University,,,,,,
Indiana University Northwest,,,,,,
Indiana University Purdue - Fort Wayne,,,,,,
Indiana University Of Pennsylvania,,,,,,
Inver Hills Community College,,,,,,
Iowa Central Community College,,,,,,
Iowa Lakes Community College Office,,,,,,
Iowa State University,,,,,,
Iowa Western Community College,,,,,,
Iowa Western Community College,,,,,,
Irvine Valley College,,,,,,
Itawamba Community College-Fulton,,,,,,
Ithaca College,,,,,,
Ivy Tech Cmty Clg - Indianapolis,,,,,,
J F Drake State Technical College,18/08/2014,12/12/2014,08/01/2015,08/05/2915,,
J South Reynolds Community College,24-Aug-15,19-Dec-15,11-Jan-16,09-May-16,,
Jacksonville College-Main Campus,20-Aug,11-Dec,14-Jan,08-May,,
James A Rhodes State College,,,,,,
James Sprunt Community College,17-Aug,14-Dec,08/01/2015,06-May,,
Jamestown Cmty Clg-Jamestown,24/08/2015,17/12/2015,19-Jan,19-May,,
Jarvis Christian College,August 25/2014,Dec 12/14,January 12/2015,May 1/2015,,
Jefferson Cmty Tech Clg-Sw,,,,,,
Jefferson College Of Health Sciences,Aug. 17/2015,Dec. 12/2015,Jan. 11/2016,May. 7/2016,,
Jefferson Community College,August 24/2015,Dec 22/2015,25-Jan,26-May,,
Jefferson Community College,August 24/2016,Dec 22/2016,25-Jan,26-May,,
Jesuit School Of Theology At Berkeley,31-Aug,18-Dec,01-Feb-16,20-May-16,,
Jewish Theological Seminary Of America,30/08/2015,Dec 24/2015,January 19/2015,May 22/2015,,
John Wesley College,August 24/2015,Dece  4/2015,January 11/2016,April 29/2016,,
Johnson & Wales University-Charlotte,Sep 08/2015,Nov. 19/2015,March 08/2016,May 19/2016,,
Johnson & Wales University-Denver,Sep 08/2015,Nov. 19/2015,March 08/2016,May 19/2016,,
Johnson Bible College,,,,,,
Johnson College,Aug. 24/2015,Dec. 20/2015,Jan. 11/2016,May 6/2016,,
Jones College-Jacksonville,Sept 8/2015,19-Dec,04-May,15-Aug,,
Jones College-Miami Campus,,,,,,
Judson College,27-Aug,11-Dec,06-Jan-16,23/05/2016,,
Jackson Community College,Sept. 8,Dec. 21,18-May,Aug. 10,,
Jackson State Community College,24-Aug-15,02-Dec-15,19-Jan-16,01-May-16,,
Jackson State University,25/08/2014,05/12/2015,12/01/2015,25/04/2015,,
Jacksonville State University,26/08/2015,04/12/2015,07/01/2015,17/04/2015,,
Jacksonville University,24/08/2015,11/12/2015,11/01/2015,29/04/2015,,
James Madison University,31/08/2015,11/12/2015,11/01/2015,28/04/2015,,
Jamestown College,24/08/2015,11/12/2015,11/01/2015,29/04/2015,,
Jefferson College,17/08/2015,,,,,
Jefferson Community Tech College - Downtown,,,,,,
Jefferson Community Tech College-Louis,,,,,,
Jefferson Davis Community College-Brew,,,,,,
Jefferson State Community College,,,,,,
John A Logan College,19/08/2015,31/12/2105,20/01/2016,31/05/2016,,
John Brown University,24/08/2015,18/12/2015,11/01/2016,06/05/2016,,
John Carroll University,02/09/2105,13/12/2015,12/01/2016,30/04/2016,,
John F Kennedy University,17/08/2015,19/12/2015,11/01/2016,21/05/2016,,
John Jay College Of Criminal Just,27/08/2015,23/12/2015,28/01/2015,24/05/2015,,
John Tyler Community College,24/08/2015,05/12/2015,12/01/2015,05/05/2015,,
John Wood Community College,17/08/2015,04/12/2015,11/01/2016,06/05/2016,,
Johns Hopkins University,27/08/2015,04/12/2015,25/01/2016,29/04/2016,,
Johnson & Wales University,09/09/2014,14/11/2014,10/03/2015,21/05/2015,,
Johnson C Smith University,01/08/2015,04/12/2015,12/01/2016,29/04/2015,,
Johnson County Community College,17/08/2015,13/12/2015,19/01/2016,20/05/2016,,
Johnson State College,24/08/2015,11/12/2015,18/01/2016,06/05/2016,,
Johnston Community College,17/08/2015,16/12/2015,07/01/2016,09/05/2016,,
Joliet Junior College,24/08/2015,19/12/2015,11/01/2016,14/05/2016,,
Jones County Junior College,18/08/2015,17/12/2015,20/01/2015,14/05/2015,,
Juniata College,27/08/2015,11/12/2015,18/01/2016,03/05/2016,,
Kansas City Art Institute,22/08/2014,12/12/2014,05/01/2015,15/05/2015,,
Kansas City University Of Medicine And Biosciences,03/08/2015,26/11/2015,04/01/2016,31/05/2016,,
Kansas Wesleyan University,18/08/2015,08/12/2015,12/01/2016,29/04/2016,,
Kaplan Career Institute-Icm Campus,N/A,N/A,N/A,N/A,,
Kaplan Career Institute-San Antonio Campus,N/A,N/A,N/A,N/A,,
Kaplan College-Merrillville,N/A,N/A,N/A,N/A,,
Kaplan University-Davenport,N/A,N/A,N/A,N/A,,
Katharine Gibbs School-Melville,N/A,N/A,N/A,N/A,,
Katharine Gibbs School-New York City,N/A,N/A,N/A,N/A,,
Kauai Community College,17/08/2015,10/12/2015,12/01/2015,08/05/2015,,
Keiser University-Ft. Lauderdale,01/09/2014,21/12/2014,06/01/2014,27/04/2014,,
Kent State University-Ashtabula Campus,31/08/2015,13/12/2015,17/01/2016,07/05/2016,,
Kent State University-Geauga Campus,31/08/2015,13/12/2015,17/01/2016,07/05/2016,,
Kent State University-Salem Campus,31/08/2015,13/12/2015,17/01/2016,07/05/2016,,
Kent State University-Trumbull Campus,31/08/2015,13/12/2015,17/01/2016,07/05/2016,,
Kentucky Cmty/Tech Clg System,17/08/2105,13/12/2015,30/03/2015,10/05/2015,,
Kentucky Mountain Bible College,N/A,N/A,N/A,N/A,,
Kettering College Of Medical Arts,31/08/2015,18/12/2015,11/01/2016,28/04/2016,,
Kilgore College,24/08/2015,24/11/2015,10/04/2015,12/01/2015,,
Kilian Community College,N/A,N/A,N/A,N/A,,
King'S College,29/08/2015,11/12/2015,16/01/2016,05/05/2016,,
Kirtland Community College,24/08/2015,11/12/2015,N/A,N/A,,
Klamath Community College,28/09/2015,11/12/2015,28/03/2016,10/06/2016,,
Knox College,10/09/2015,13/11/2015,25/03/2015,28/05/2015,,
Kalamazoo College,14/09/2015,20/11/2015,27/03/2016,02/06/2016,,
Kalamazoo Vly Community College-Tx Town,08/09/2015,21/12/2015,11/01/2016,02/05/2016,,
Kankakee Community College,17/08/2015,10/12/2015,11/01/2016,12/05/2016,,
Kansas City Kansas Community College,18/08/2015,09/12/2015,19/01/2016,13/05/2015,,
Kansas State University,24/08/2015,11/12/2015,19/01/2016,13/05/2016,,
Kapiolani Community College,24/08/2015,10/12/2015,11/01/2016,04/05/2016,,
Kean University,01/09/2015,19/12/2015,21/01/2015,18/05/2015,,
Kellogg Community College,,,,,,
Kennebec Valley Community College,08/09/2015,19/12/2015,25/01/2016,14/05/2016,,
Kennesaw State University,17/08/2015,07/12/2015,11/01/2016,02/05/2016,,
Kent State University,31/08/2015,13/12/2015,17/01/2016,07/05/2016,,
Kentucky State University,22/08/2015,11/12/2105,16/01/2016,06/05/2016,,
Kentucky Wesleyan College,26/08/2015,04/12/2105,11/01/2016,26/04/2016,,
Kenyon College,27/08/2015,11/12/2015,18/01/2016,06/05/2016,,
Kettering University,05/10/2015,16/12/2015,04/04/2016,13/06/2016,,
Keuka College,31/08/2015,11/12/2015,08/02/2016,20/05/2016,,
Keystone College,24/08/2014,05/12/2014,19/01/2015,01/05/2015,,
King College,29/08/2015,11/12/2015,16/01/2016,05/05/2016,,
Kingsborough Community College,08/09/2015,09/12/2015,04/03/2015,07/06/2015,,
Kirkwood Community College,24/08/2015,15/12/2015,19/01/2016,10/05/2016,,
Kutztown University,24/08/2015,05/12/2015,19/01/2016,30/04/2016,,
L E Fletcher Technical Community College,20/08/2014,12/12/2014,21/01/2015,18/05/2015,,
Laboure College,09/09/2015,14/12/2015,12/01/2016,15/04/2016,,
Lackawanna College,26/08/2013,06/12/2013,22/01/2014,09/05/2014,,
Lagrange College,26/08/2015,10/12/2015,02/02/2015,12/05/2015,,
Lake Area Technical Institute,21/08/2014,19/12/2014,06/01/2015,08/05/2015,,
